bloc_code;competence_id;methode;score
RNCP36529BC03;gm_decision;ia;
RNCP36529BC04;tl_management_flux;ia;
RNCP38266BC01;i_cycle_vie;ia;
RNCP38266BC02;tl_management_flux;ia;
RNCP38266BC03;i_securiser_systeme;ia;
RNCP38266BC04;gm_amelioration;ia;
RNCP38920BC01;n_iot;ia;
RNCP38920BC02;n_iot;ia;
RNCP38920BC03;n_iot;ia;
RNCP38920BC04;n_projet_info;ia;
RNCP38310BC01;so_contexte;ia;
RNCP38310BC02;b_realisation;ia;
RNCP38310BC03;b_realisation;ia;
RNCP38310BC06;g_eps;ia;
RNCP38310BC07;g_pse;ia;
RNCP38310BC08;g_langue;ia;
RNCP38310BC09;g_mobilite;ia;
RNCP36472BC01;en_nucleaire;ia;
RNCP36472BC02;i_maintenance;ia;
RNCP36472BC03;en_nucleaire;ia;
RNCP38610BC01;pe_environnement;ia;
RNCP38610BC02;pe_environnement;ia;
RNCP38610BC03;ef_formation;ia;
RNCP38610BC04;ef_formation;ia;
RNCP37562BC02;an_foret;ia;
RNCP37562BC04;an_foret;ia;
RNCP37562BC05;an_foret;ia;
RNCP37562BC06;t_transformation;ia;
RNCP35476BC01;n_dev_app;ia;
RNCP35476BC02;n_specifier_logiciel;ia;
RNCP35476BC03;n_systemes;ia;
RNCP35476BC04;n_donnees;ia;
RNCP35476BC05;t_projet;ia;
RNCP35476BC06;t_equipe;ia;
RNCP35476BC07;t_outils_numeriques;ia;
RNCP35476BC08;t_exploiter_donnees;ia;
RNCP35476BC09;t_communiquer;ia;
RNCP35476BC10;t_responsabilite;ia;
RNCP35476BC11;t_positionnement;ia;
RNCP36053BC02;se_prevention;ia;
RNCP35640BC01;so_contexte;ia;
RNCP35640BC05;g_eps;ia;
RNCP35640BC06;q_hse;ia;
RNCP35640BC07;g_langue;ia;
RNCP35640BC08;g_langue;ia;
RNCP35640BC09;g_arts;ia;
RNCP35640BC10;g_mobilite;ia;
RNCP36331BC01;ec_cosmetique;ia;
RNCP36331BC02;ec_spa;ia;
RNCP36331BC03;cv_relation_client;ia;
RNCP36331BC04;g_pse;ia;
RNCP36331BC05;g_eco_gestion;ia;
RNCP36331BC06;g_maths;ia;
RNCP36331BC07;g_physique_chimie;ia;
RNCP36331BC08;g_langue;ia;
RNCP36331BC09;g_francais;ia;
RNCP36331BC10;g_histoire_geo;ia;
RNCP36331BC11;g_arts;ia;
RNCP36331BC12;g_eps;ia;
RNCP36331BC13;g_langue;ia;
RNCP37250BC01;so_communication_ts;ia;
RNCP37250BC05;g_eps;ia;
RNCP37250BC06;g_pse;ia;
RNCP37932BC01;hr_cuisine;ia;
RNCP37932BC02;cv_marketing;ia;
RNCP37932BC03;t_equipe;ia;
RNCP37932BC04;i_cycle_vie;ia;
RNCP37932BC05;gm_projet;ia;
RNCP37695BC01;n_usages_avances;ia;
RNCP37695BC02;t_savoirs_specialises;ia;
RNCP37695BC03;t_communication_specialisee;ia;
RNCP37695BC04;t_transformation;ia;
RNCP37695BC05;mt_couture;ia;
RNCP37695BC06;cv_marketing;ia;
RNCP37695BC07;gm_strategie;ia;
RNCP37695BC08;cv_espace_vente;ia;
RNCP37695BC09;mt_mode;ia;
RNCP36854BC01;n_reseaux;ia;
RNCP36854BC03;n_reseaux;ia;
RNCP36854BC05;n_reseaux;ia;
RNCP36854BC06;n_reseaux;ia;
RNCP37884BC01;n_usages_avances;ia;
RNCP37884BC02;t_savoirs_specialises;ia;
RNCP37884BC03;t_communication_specialisee;ia;
RNCP37884BC04;t_transformation;ia;
RNCP37884BC05;cv_relation_client;ia;
RNCP37884BC06;q_eco_conception;ia;
RNCP37884BC08;gm_parties_prenantes;ia;
RNCP38362BC01;cv_relation_client;ia;
RNCP38362BC02;cv_vendre;ia;
RNCP38362BC03;gm_projet;ia;
RNCP38362BC04;cv_equipe_commerciale;ia;
RNCP38370BC01;ef_formation;ia;
RNCP38370BC02;ar_musique_spectacle;ia;
RNCP38370BC03;ef_enseigner;ia;
RNCP37986BC03;b_rehabilitation;ia;
RNCP37986BC04;gm_projet;ia;
RNCP38621BC02;i_fabrication;ia;
RNCP38621BC03;i_maintenance;ia;
RNCP38621BC04;gm_amelioration;ia;
RNCP39133BC01;cv_espace_vente;ia;
RNCP39133BC02;sp_securite_aquatique;ia;
RNCP39133BC03;gm_decision;ia;
RNCP39133BC04;g_maths;ia;
RNCP39133BC05;g_eco_gestion;ia;
RNCP39133BC06;g_pse;ia;
RNCP39133BC07;g_langue;ia;
RNCP39133BC08;g_langue;ia;
RNCP39133BC09;g_francais;ia;
RNCP39133BC10;g_histoire_geo;ia;
RNCP39133BC11;g_arts;ia;
RNCP39133BC12;g_eps;ia;
RNCP39133BC13;g_langue;ia;
RNCP39133BC14;g_mobilite;ia;
RNCP39133BC15;sp_encadrer;ia;
RNCP38219BC02;e_electronique;ia;
RNCP38219BC04;i_mecatronique;ia;
RNCP38395BC01;i_solution_tech;ia;
RNCP38395BC02;t_projet;ia;
RNCP38395BC03;g_arts;ia;
RNCP38395BC04;au_maintenance;ia;
RNCP38395BC05;b_realisation;ia;
RNCP38395BC06;g_arts;ia;
RNCP38395BC08;g_maths;ia;
RNCP38395BC09;g_langue;ia;
RNCP38395BC11;g_eps;ia;
RNCP38395BC13;g_mobilite;ia;
RNCP38644BC01;b_diagnostic;ia;
RNCP38644BC02;b_etudes;ia;
RNCP38644BC03;t_projet;ia;
RNCP38644BC04;b_etudes;ia;
RNCP38644BC05;q_developpement_durable;ia;
RNCP36945BC01;t_outils_numeriques;ia;
RNCP36945BC02;t_exploiter_donnees;ia;
RNCP36945BC03;t_communiquer;ia;
RNCP36945BC04;t_positionnement;ia;
RNCP36945BC05;t_transformation;ia;
RNCP36945BC06;ar_documentation;ia;
RNCP36945BC07;cm_design_graphique;ia;
RNCP36945BC08;t_equipe;ia;
RNCP36945BC09;ar_musique_spectacle;ia;
RNCP36945BC11;ar_musique_spectacle;ia;
RNCP39055BC01;i_mecatronique;ia;
RNCP39055BC02;i_robotique;ia;
RNCP39055BC05;t_savoirs_specialises;ia;
RNCP38272BC01;cv_vendre;ia;
RNCP38272BC02;n_dev_app;ia;
RNCP38272BC03;g_pse;ia;
RNCP38272BC04;gm_piloter_org;ia;
RNCP38066BC01;t_outils_numeriques;ia;
RNCP38066BC02;t_savoirs_specialises;ia;
RNCP38066BC03;gm_production;ia;
RNCP38066BC04;t_responsabilite;ia;
RNCP38066BC05;gm_strategie;ia;
RNCP38066BC06;n_donnees;ia;
RNCP38066BC07;si_prototype;ia;
RNCP38066BC08;gm_processus;ia;
RNCP38066BC09;ar_musique_spectacle;ia;
RNCP38714BC02;gm_projet;ia;
RNCP38714BC03;g_arts;ia;
RNCP38714BC06;g_langue;ia;
RNCP38714BC08;g_eps;ia;
RNCP38714BC09;g_langue;ia;
RNCP38277BC01;ba_immobilier;ia;
RNCP38277BC02;ba_immobilier;ia;
RNCP39211BC01;gm_strategie;ia;
RNCP39211BC02;q_developpement_durable;ia;
RNCP39211BC04;sp_projet_aps;ia;
RNCP39211BC05;sp_projet_aps;ia;
RNCP39211BC06;cm_communication;ia;
RNCP38511BC01;pe_dechets;ia;
RNCP38511BC02;pe_dechets;ia;
RNCP38511BC03;pe_dechets;ia;
RNCP38236BC01;gm_strategie;ia;
RNCP38236BC02;cf_performance_fin;ia;
RNCP38236BC03;cf_performance_fin;ia;
RNCP38499BC01;n_donnees;ia;
RNCP38499BC02;gm_production;ia;
RNCP38499BC03;ch_procede;ia;
RNCP38499BC04;en_intervention;ia;
RNCP38499BC05;g_maths;ia;
RNCP38499BC06;g_physique_chimie;ia;
RNCP38499BC07;g_eco_gestion;ia;
RNCP38499BC08;g_pse;ia;
RNCP38499BC09;g_langue;ia;
RNCP38499BC10;g_francais;ia;
RNCP38499BC11;g_histoire_geo;ia;
RNCP38499BC12;g_arts;ia;
RNCP38499BC13;g_eps;ia;
RNCP38499BC14;g_langue;ia;
RNCP38499BC15;g_mobilite;ia;
RNCP39228BC01;n_systemes;ia;
RNCP39228BC02;n_maintien_op;ia;
RNCP39228BC03;n_cyber;ia;
RNCP38510BC01;q_hse;ia;
RNCP38510BC04;q_developpement_durable;ia;
RNCP39207BC01;sp_securite_aquatique;ia;
RNCP39207BC02;b_chantier;ia;
RNCP39207BC03;n_cyber;ia;
RNCP39207BC04;q_hse;ia;
RNCP38456BC01;gm_projet;ia;
RNCP38456BC03;gm_decision;ia;
RNCP38456BC04;i_conception;ia;
RNCP38456BC05;g_maths;ia;
RNCP38456BC06;g_physique_chimie;ia;
RNCP38456BC07;g_eco_gestion;ia;
RNCP38456BC09;g_langue;ia;
RNCP38456BC10;g_francais;ia;
RNCP38456BC12;g_arts;ia;
RNCP38456BC13;g_eps;ia;
RNCP38456BC14;g_langue;ia;
RNCP38456BC15;g_mobilite;ia;
RNCP37263BC01;cv_relation_client;ia;
RNCP37263BC02;en_froid;ia;
RNCP37263BC03;au_engins;ia;
RNCP36946BC01;t_outils_numeriques;ia;
RNCP36946BC02;t_exploiter_donnees;ia;
RNCP36946BC03;t_communiquer;ia;
RNCP36946BC04;t_positionnement;ia;
RNCP36946BC05;t_transformation;ia;
RNCP36946BC06;ar_documentation;ia;
RNCP36946BC07;cm_design_graphique;ia;
RNCP36946BC08;t_equipe;ia;
RNCP36946BC09;cm_design_graphique;ia;
RNCP36946BC10;ar_musique_spectacle;ia;
RNCP36946BC11;cm_design_graphique;ia;
RNCP38216BC01;t_responsabilite;ia;
RNCP38216BC03;ch_procede;ia;
RNCP38216BC04;e_maintenance_elec;ia;
RNCP38216BC05;cf_controle_gestion;ia;
RNCP38539BC01;ch_plasturgie;ia;
RNCP38539BC02;ch_synthese;ia;
RNCP38539BC03;si_ingenierie_systeme;ia;
RNCP38724BC01;b_etudes;ia;
RNCP38724BC02;b_dimensionner;ia;
RNCP38724BC03;b_realisation;ia;
RNCP38724BC05;b_realisation;ia;
RNCP38724BC06;me_usinage;ia;
RNCP38724BC07;b_realisation;ia;
RNCP38724BC09;g_physique_chimie;ia;
RNCP38724BC10;g_expression_monde;ia;
RNCP38724BC11;g_langue;ia;
RNCP38725BC01;q_metrologie;ia;
RNCP38725BC02;sp_projet_aps;ia;
RNCP38725BC05;g_maths;ia;
RNCP38725BC06;g_physique_chimie;ia;
RNCP38725BC07;g_expression_monde;ia;
RNCP38725BC08;g_langue;ia;
RNCP37711BC01;t_outils_numeriques;ia;
RNCP37711BC02;t_exploiter_donnees;ia;
RNCP37711BC03;t_communiquer;ia;
RNCP37711BC04;t_positionnement;ia;
RNCP37711BC05;t_responsabilite;ia;
RNCP37711BC07;ag_production;ia;
RNCP37711BC08;d_conseil;ia;
RNCP35767BC01;rh_strategie;ia;
RNCP35767BC02;rh_recrutement;ia;
RNCP35767BC03;rh_developpement;ia;
RNCP38800BC01;sp_encadrer;ia;
RNCP38800BC02;sp_encadrer;ia;
RNCP38800BC03;cv_communiquer_offre;ia;
RNCP38867BC01;t_responsabilite;ia;
RNCP38867BC02;cm_moyens;ia;
RNCP38867BC03;au_engins;ia;
RNCP38867BC04;au_engins;ia;
RNCP38212BC01;pe_environnement;ia;
RNCP38212BC02;pe_environnement;ia;
RNCP38212BC03;pe_environnement;ia;
RNCP38212BC04;pe_environnement;ia;
RNCP38874BC01;se_cyber_secu;ia;
RNCP38874BC02;q_developpement_durable;ia;
RNCP38874BC03;gm_production;ia;
RNCP38874BC04;n_usages_avances;ia;
RNCP38874BC05;t_savoirs_specialises;ia;
RNCP38874BC06;cm_moyens;ia;
RNCP38874BC07;t_transformation;ia;
RNCP38874BC08;gm_strategie;ia;
RNCP38874BC09;cv_relation_client;ia;
RNCP38875BC01;ag_traiteur;ia;
RNCP38875BC02;an_prod_vegetale;ia;
RNCP38875BC03;ag_production;ia;
RNCP38882BC03;i_fabrication;ia;
RNCP38882BC05;n_cyber;ia;
RNCP38884BC01;ag_biologie;ia;
RNCP38884BC02;q_qualite;ia;
RNCP38884BC03;s_ingenierie_moleculaire;ia;
RNCP38878BC01;gm_processus;ia;
RNCP38878BC02;en_installation;ia;
RNCP38878BC03;i_maintenance;ia;
RNCP38878BC04;g_eco_gestion;ia;
RNCP38878BC05;g_pse;ia;
RNCP38878BC06;g_maths;ia;
RNCP38878BC07;g_physique_chimie;ia;
RNCP38878BC08;g_langue;ia;
RNCP38878BC09;g_francais;ia;
RNCP38878BC10;g_histoire_geo;ia;
RNCP38878BC11;g_arts;ia;
RNCP38878BC12;g_eps;ia;
RNCP39387BC01;g_physique_chimie;ia;
RNCP39387BC02;so_aide_personne;ia;
RNCP39387BC03;so_aide_personne;ia;
RNCP38892BC01;b_chantier;ia;
RNCP38892BC04;b_realisation;ia;
RNCP38025BC01;n_maintien_op;ia;
RNCP39403BC01;n_usages_avances;ia;
RNCP39403BC02;t_savoirs_specialises;ia;
RNCP39403BC03;t_communication_specialisee;ia;
RNCP39403BC04;t_transformation;ia;
RNCP39403BC06;so_contexte;ia;
RNCP39403BC07;gm_strategie;ia;
RNCP39403BC08;t_communiquer;ia;
RNCP39403BC09;t_savoirs_specialises;ia;
RNCP38917BC01;sp_encadrer;ia;
RNCP38917BC02;sp_projet_aps;ia;
RNCP38917BC03;sp_projet_aps;ia;
RNCP38481BC01;s_biologie_medicale;ia;
RNCP38481BC02;q_qualite;ia;
RNCP38481BC03;s_soins;ia;
RNCP38481BC04;n_projet_info;ia;
RNCP39409BC01;t_outils_numeriques;ia;
RNCP39409BC02;t_exploiter_donnees;ia;
RNCP39409BC03;t_communiquer;ia;
RNCP39409BC04;t_positionnement;ia;
RNCP39409BC05;t_responsabilite;ia;
RNCP39409BC06;sp_parcours;ia;
RNCP39409BC07;ar_musique_spectacle;ia;
RNCP39409BC08;cm_spectacle;ia;
RNCP39417BC01;ef_formation;ia;
RNCP39417BC02;ef_formation;ia;
RNCP39417BC03;ur_amenagement;ia;
RNCP38341BC02;gm_projet;ia;
RNCP38341BC03;e_electronique;ia;
RNCP38764BC01;n_systemes;ia;
RNCP38764BC02;t_communiquer;ia;
RNCP38764BC04;t_responsabilite;ia;
RNCP38764BC07;gm_projet;ia;
RNCP38431BC01;ag_traiteur;ia;
RNCP38431BC02;hr_cuisine;ia;
RNCP38431BC03;hr_gestion_resto;ia;
RNCP38431BC04;g_expression_monde;ia;
RNCP38431BC05;g_langue;ia;
RNCP38431BC06;g_langue;ia;
RNCP38431BC07;g_mobilite;ia;
RNCP39431BC01;t_outils_numeriques;ia;
RNCP39431BC02;t_savoirs_specialises;ia;
RNCP39431BC03;t_communiquer;ia;
RNCP39431BC04;gm_strategie;ia;
RNCP39431BC05;gm_strategie;ia;
RNCP39431BC06;gm_strategie;ia;
RNCP39431BC07;gm_qualite;ia;
RNCP39431BC08;gm_amelioration;ia;
RNCP39431BC09;t_responsabilite;ia;
RNCP39431BC10;gm_manager_equipe;ia;
RNCP38963BC01;n_usages_avances;ia;
RNCP38963BC02;t_savoirs_specialises;ia;
RNCP38963BC03;t_communication_specialisee;ia;
RNCP38963BC04;t_transformation;ia;
RNCP38963BC05;ur_geomatique;ia;
RNCP38963BC06;ef_formation;ia;
RNCP38963BC07;t_savoirs_specialises;ia;
RNCP35375BC01;gm_processus;ia;
RNCP35375BC02;gm_decision;ia;
RNCP35375BC03;gm_parties_prenantes;ia;
RNCP35375BC05;gm_processus;ia;
RNCP35375BC06;t_outils_numeriques;ia;
RNCP35375BC07;t_exploiter_donnees;ia;
RNCP35375BC08;t_communiquer;ia;
RNCP35375BC09;t_responsabilite;ia;
RNCP35375BC10;t_positionnement;ia;
RNCP35744BC01;d_actes;ia;
RNCP35367BC01;s_biologie_medicale;ia;
RNCP35367BC02;s_ingenierie_moleculaire;ia;
RNCP35367BC06;t_outils_numeriques;ia;
RNCP35367BC07;t_exploiter_donnees;ia;
RNCP35367BC08;t_communiquer;ia;
RNCP35367BC09;t_responsabilite;ia;
RNCP35367BC10;t_positionnement;ia;
RNCP36650BC01;cm_communication;ia;
RNCP36650BC02;cm_communication;ia;
RNCP36650BC03;cm_communication;ia;
RNCP36650BC04;cm_communication;ia;
RNCP37784BC01;e_electronique;ia;
RNCP37784BC02;e_electronique;ia;
RNCP37784BC03;e_maintenance_elec;ia;
RNCP39028BC01;ba_strategie_patri;ia;
RNCP39028BC02;e_etude_tech;ia;
RNCP39028BC03;e_geii;ia;
RNCP39028BC04;e_etude_tech;ia;
RNCP39028BC05;e_appel_offres;ia;
RNCP39028BC06;e_installation_elec;ia;
RNCP39028BC07;e_electronique;ia;
RNCP39028BC08;n_specifier_logiciel;ia;
RNCP37197BC01;s_urgence;ia;
RNCP37197BC02;gm_production;ia;
RNCP37197BC04;gm_amelioration;ia;
RNCP35822BC01;t_outils_numeriques;ia;
RNCP35822BC02;t_exploiter_donnees;ia;
RNCP35822BC03;t_communiquer;ia;
RNCP35822BC04;t_positionnement;ia;
RNCP35822BC05;t_responsabilite;ia;
RNCP35822BC06;to_experience;ia;
RNCP35822BC07;to_ecosysteme;ia;
RNCP35822BC08;se_surveillance;ia;
RNCP35822BC09;t_responsabilite;ia;
RNCP37662BC01;cm_communication;ia;
RNCP37662BC02;cm_design_graphique;ia;
RNCP37662BC03;t_communiquer;ia;
RNCP37662BC04;cm_communication;ia;
RNCP37370BC01;si_ingenierie_systeme;ia;
RNCP37370BC03;si_ingenierie_systeme;ia;
RNCP37370BC04;gm_decision;ia;
RNCP37370BC05;rh_strategie;ia;
RNCP37466BC01;n_usages_avances;ia;
RNCP37466BC02;t_savoirs_specialises;ia;
RNCP37466BC03;t_communication_specialisee;ia;
RNCP37466BC04;t_transformation;ia;
RNCP37466BC05;s_dm_numerique;ia;
RNCP37466BC06;ef_enseigner;ia;
RNCP37466BC07;s_soins;ia;
RNCP39081BC01;ch_plasturgie;ia;
RNCP39081BC02;n_usages_avances;ia;
RNCP39081BC06;gm_projet;ia;
RNCP38203BC01;n_usages_avances;ia;
RNCP38203BC02;t_savoirs_specialises;ia;
RNCP38203BC03;t_communication_specialisee;ia;
RNCP38203BC04;t_transformation;ia;
RNCP38203BC05;cm_communication;ia;
RNCP38203BC06;cm_communication;ia;
RNCP38203BC07;cm_communication;ia;
RNCP38199BC01;n_usages_avances;ia;
RNCP38199BC02;t_savoirs_specialises;ia;
RNCP38199BC03;t_communication_specialisee;ia;
RNCP38199BC04;t_transformation;ia;
RNCP38199BC05;ar_documentation;ia;
RNCP38199BC07;n_systemes;ia;
RNCP38360BC01;g_physique_chimie;ia;
RNCP38360BC02;e_etude_tech;ia;
RNCP38360BC03;gm_decision;ia;
RNCP38360BC05;q_hse;ia;
RNCP38360BC06;t_positionnement;ia;
RNCP39130BC01;si_ingenierie_systeme;ia;
RNCP39130BC02;si_manager_projet_ing;ia;
RNCP39130BC03;si_manager_projet_ing;ia;
RNCP39130BC04;cv_equipe_commerciale;ia;
RNCP39130BC05;i_amelioration;ia;
RNCP38365BC01;sp_projet_aps;ia;
RNCP38365BC02;tl_management_flux;ia;
RNCP38365BC03;tl_transport;ia;
RNCP38365BC04;ba_banque;ia;
RNCP38614BC01;ba_patrimoine;ia;
RNCP38614BC02;ba_patrimoine;ia;
RNCP38614BC03;ba_banque;ia;
RNCP38614BC04;ba_portefeuille;ia;
RNCP38614BC05;cf_performance_fin;ia;
RNCP39097BC01;n_projet_info;ia;
RNCP39097BC02;sp_securite_aquatique;ia;
RNCP39097BC03;sp_securite_aquatique;ia;
RNCP39097BC04;n_maintien_op;ia;
RNCP39097BC05;n_systemes;ia;
RNCP38372BC01;t_responsabilite;ia;
RNCP38372BC02;t_communiquer;ia;
RNCP38372BC03;i_cycle_vie;ia;
RNCP38372BC04;e_electronique;ia;
RNCP38372BC05;i_fabrication;ia;
RNCP36631BC01;tl_supply;ia;
RNCP36631BC02;tl_management_flux;ia;
RNCP36631BC03;gm_processus;ia;
RNCP36631BC04;rh_strategie;ia;
RNCP38366BC02;n_systemes;ia;
RNCP38366BC03;si_problemes;ia;
RNCP38366BC04;gm_production;ia;
RNCP38366BC05;gm_projet;ia;
RNCP38366BC06;t_communiquer;ia;
RNCP38594BC01;ba_banque;ia;
RNCP38594BC02;rh_developpement;ia;
RNCP38594BC03;cv_relation_client;ia;
RNCP38594BC04;gm_manager_equipe;ia;
RNCP38613BC01;ba_portefeuille;ia;
RNCP38613BC02;b_solutions_tech;ia;
RNCP38613BC03;cf_performance_fin;ia;
RNCP39124BC01;cm_communication;ia;
RNCP39124BC03;gm_projet;ia;
RNCP39124BC04;cm_creatif;ia;
RNCP38373BC01;an_exploitation;ia;
RNCP38373BC02;pe_environnement;ia;
RNCP38373BC03;hr_cuisine;ia;
RNCP38373BC04;an_prod_animale;ia;
RNCP38373BC05;an_prod_vegetale;ia;
RNCP38373BC06;an_exploitation;ia;
RNCP38377BC01;q_eco_conception;ia;
RNCP38377BC02;gm_amelioration;ia;
RNCP38377BC03;n_dev_app;ia;
RNCP38377BC04;en_efficacite;ia;
RNCP38377BC05;si_prototype;ia;
RNCP38582BC01;b_realisation;ia;
RNCP38582BC02;i_conception;ia;
RNCP38582BC03;gm_manager_equipe;ia;
RNCP38629BC01;sp_encadrer;ia;
RNCP38629BC02;sp_encadrer;ia;
RNCP38629BC03;sp_parcours;ia;
RNCP39102BC01;b_chantier;ia;
RNCP39102BC02;bo_ameublement;ia;
RNCP39102BC03;en_installation;ia;
RNCP38382BC01;ch_analyse;ia;
RNCP38382BC02;tl_logistique;ia;
RNCP38382BC03;s_soins;ia;
RNCP38382BC04;gm_projet;ia;
RNCP38607BC01;n_dev_app;ia;
RNCP38607BC02;n_dev_app;ia;
RNCP38607BC03;n_usages_avances;ia;
RNCP38607BC04;n_maintien_op;ia;
RNCP38630BC01;sp_encadrer;ia;
RNCP38630BC02;sp_encadrer;ia;
RNCP38592BC01;q_hse;ia;
RNCP38592BC02;n_specifier_logiciel;ia;
RNCP38592BC03;n_specifier_logiciel;ia;
RNCP38592BC04;i_cycle_vie;ia;
RNCP38627BC01;i_maintenance;ia;
RNCP38627BC02;i_maintenance;ia;
RNCP38627BC03;i_maintenance;ia;
RNCP38386BC01;t_positionnement;ia;
RNCP38386BC02;rh_developpement;ia;
RNCP38386BC03;t_positionnement;ia;
RNCP38386BC04;an_paysage;ia;
RNCP38386BC05;an_paysage;ia;
RNCP38390BC01;t_positionnement;ia;
RNCP38390BC02;rh_developpement;ia;
RNCP38390BC03;t_positionnement;ia;
RNCP38390BC04;q_hse;ia;
RNCP38390BC05;so_aide_personne;ia;
RNCP38390BC06;cv_vendre;ia;
RNCP38646BC01;n_usages_avances;ia;
RNCP38646BC02;t_savoirs_specialises;ia;
RNCP38646BC03;t_communication_specialisee;ia;
RNCP38646BC04;t_transformation;ia;
RNCP38646BC05;t_savoirs_specialises;ia;
RNCP38646BC06;ef_formation;ia;
RNCP38646BC07;t_communication_specialisee;ia;
RNCP38646BC08;si_prototype;ia;
RNCP38646BC09;t_savoirs_specialises;ia;
RNCP38646BC10;n_donnees;ia;
RNCP38646BC11;t_outils_numeriques;ia;
RNCP38646BC12;t_savoirs_specialises;ia;
RNCP38634BC01;ef_accompagnement;ia;
RNCP38634BC02;gm_qualite;ia;
RNCP38634BC03;g_arts;ia;
RNCP38634BC05;g_arts;ia;
RNCP38634BC07;g_langue;ia;
RNCP38634BC09;g_eps;ia;
RNCP38634BC10;g_langue;ia;
RNCP38397BC01;t_communiquer;ia;
RNCP38397BC02;n_donnees;ia;
RNCP38397BC03;cv_relation_client;ia;
RNCP38397BC05;g_eco_gestion;ia;
RNCP38397BC06;g_maths;ia;
RNCP38397BC07;g_langue;ia;
RNCP38397BC08;g_langue;ia;
RNCP38397BC09;g_francais;ia;
RNCP38397BC10;g_histoire_geo;ia;
RNCP38397BC11;g_arts;ia;
RNCP38397BC12;g_eps;ia;
RNCP38397BC13;g_langue;ia;
RNCP38397BC14;g_mobilite;ia;
RNCP38403BC01;cv_relation_client;ia;
RNCP38403BC02;tl_logistique;ia;
RNCP38403BC03;tl_transport;ia;
RNCP38403BC06;g_eps;ia;
RNCP38403BC08;g_langue;ia;
RNCP38403BC09;g_mobilite;ia;
